day,hour,max-Temperature(째C),min-Temperature(째C),mean-Temperature(째C),sd-Temperature(째C),max-Relative humidity(%),min-Relative humidity(%),mean-Relative humidity(%),sd-Relative humidity(%),max-Carbon dioxide(ppm),min-Carbon dioxide(ppm),mean-Carbon dioxide(ppm),sd-Carbon dioxide(ppm)
18,16,28.21,28.21,28.21,nan,24.21,24.21,24.21,nan,361.67,361.67,361.67,nan
18,17,28.71,27.53,28.206666666666667,0.47521223328810325,24.73,23.43,24.081666666666667,0.5932425024108323,374.92,358.53,364.695,6.610823700568644
18,18,27.09,26.03,26.58,0.41636522429232686,27.7,25.42,26.716666666666665,0.8812415484228288,372.98,356.96,366.8233333333333,5.417344983169039
18,19,25.58,23.79,24.716666666666665,0.6589587746336385,32.73,28.22,30.241666666666664,1.6853417062028295,381.52,365.58,371.445,5.4869581737060775
18,20,23.65,22.88,23.30333333333333,0.3005772224681484,35.47,33.38,34.4,0.8299638546346454,377.13,369.73,373.2583333333334,3.1520115270516755
18,21,22.67,20.97,21.914285714285715,0.6002459813236888,40.19,36.0,37.808571428571426,1.502901954790892,380.23,365.43,373.04571428571427,5.714174939402479
18,22,21.07,20.76,20.863333333333333,0.10670832519848976,41.22,40.02,40.65666666666667,0.40898247721224623,385.76,369.84,375.385,5.415030009150459
18,23,20.52,19.53,19.988333333333333,0.40077009203116254,45.59,42.39,44.15833333333334,1.204714350651916,384.73,367.23,377.46000000000004,7.174889546188151
19,0,19.43,18.69,19.061666666666664,0.2559231655529964,47.59,45.72,46.65,0.6230890787038418,377.49,367.95,371.72,3.833953573010508
19,1,18.69,18.09,18.31,0.22262075374951076,48.92,47.48,48.465,0.528535713079071,380.36,369.16,373.5933333333333,4.277708109100792
19,2,18.09,17.23,17.51,0.3147697571241557,51.01,48.79,50.27,0.8216081791218971,376.7,366.0,372.0133333333333,4.602132838876629
19,3,17.36,17.01,17.2,0.12066482503198646,51.86,50.69,51.208333333333336,0.3971103960697411,373.88,363.18,367.8633333333333,4.308998336814099
19,4,17.47,16.88,17.147142857142857,0.20262562241025428,52.19,50.86,51.48571428571428,0.463136306172641,369.9,361.38,365.36428571428576,2.856237951938742
19,5,16.92,16.65,16.798333333333336,0.08931218655181866,52.6,52.09,52.30666666666667,0.1775011737050398,376.28,361.89,368.0,5.4275924681206495
19,6,16.99,16.74,16.869999999999997,0.08972179222463178,52.43,51.8,52.074,0.26434825514839305,381.53,368.63,372.436,5.406457250362745
19,7,16.89,16.59,16.785,0.13699148392023053,52.39,51.92,52.0975,0.20451161336217566,376.41,369.42,372.28999999999996,3.00904192947413
19,8,16.65,16.24,16.474999999999998,0.13575713609236192,52.89,52.02,52.51666666666666,0.31721706553504664,372.58,364.96,368.7833333333333,2.8365377957409112
19,9,16.78,16.65,16.7,0.0700000000000008,52.4,51.85,52.11333333333334,0.2757414247684458,380.97,365.54,373.2,7.715588117570822
